"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Devin Booker","Pho","G","26.5","10","42.3","29.5","11.6","63","0.873","170","0.629","58","0.517","0.667","0.702","35.9","5.2","7.1","1.8","0.8","3","41.1","43","48.2","10.4","132.4","109.9"
"2","Kawhi Leonard","Lac","F","31.9","2","40.2","30","11.9","17","0.882","34","0.529","10","0.6","0.614","0.67","34.5","6.5","6","2","0.5","3","41","40.5","47","11","129.4","110.8"
"3","Jimmy Butler","Mia","F","33.7","9","38.9","30.6","9.7","90","0.778","152","0.586","33","0.394","0.586","0.639","31.9","6.4","5.6","1.9","0.9","2.2","38.3","37.4","43.9","10.8","128.1","110.3"
"4","Anthony Edwards","Min","G","21.8","5","39.7","32.4","6.5","39","0.846","71","0.563","43","0.349","0.548","0.602","31.6","5","5.2","1.8","2","1.6","36.6","36.8","41.8","9.4","122.1","111"
"5","Nikola Jokic","Den","C","28.2","10","37.8","33.4","14.1","69","0.768","180","0.544","39","0.487","0.578","0.614","30.6","13.1","9.5","0.9","0.7","3.6","43.7","40.1","53.2","16.5","125.7","106"
"6","Stephen Curry","Gol","G","35.2","12","37.9","31.2","11.8","52","0.827","140","0.579","143","0.371","0.567","0.595","30.3","5.1","6.2","1","0.4","3.2","35.4","36.5","41.6","10.4","113.5","112"
"7","Kevin Durant","Pho","F","34.6","10","42.9","28.4","14.6","89","0.91","154","0.532","51","0.333","0.524","0.606","29.6","9.1","5.6","0.9","1.4","3.5","38.7","35.2","44.3","10.7","116.7","109.8"
"8","Trae Young","Atl","G","24.6","6","38.4","34.4","13.8","43","0.86","95","0.442","54","0.333","0.463","0.521","29.2","3.7","10.2","1.7","0.7","4","32.8","39.3","43","10.8","109","115.8"
"9","De'Aaron Fox","Sac","G","25.4","7","38.5","31","14.5","41","0.756","102","0.48","63","0.333","0.488","0.524","27.4","5.4","7.7","2.1","0.6","4","32.9","35.1","40.6","10.9","105.9","109.5"
"10","Jayson Tatum","Bos","F-G","25.2","11","39","29.6","10.3","67","0.866","131","0.542","96","0.333","0.524","0.577","26.9","10.5","5.1","0.9","1.3","2.4","37.5","32","42.5","11.6","116.3","107.3"
"11","Jalen Brunson","Nyk","G","26.7","10","39.8","28.2","8.8","59","0.915","138","0.536","70","0.3","0.507","0.566","26.5","5","5.9","1.5","0.1","2","31.5","32.4","37.4","9.3","120.5","111.6"
"12","Jamal Murray","Den","G","26.2","10","38.8","28.7","9.8","39","0.897","138","0.507","74","0.378","0.528","0.565","25.9","5.3","6.7","1","0.3","2.3","31.2","32.6","37.9","10","115.4","112.8"
"13","Jaylen Brown","Bos","G-F","26.5","11","37.4","27.6","14.6","44","0.659","138","0.587","61","0.475","0.626","0.637","25.3","5.2","3.5","1","0.4","3.1","30.5","28.7","33.9","8.3","112.5","107.5"
"14","Joel Embiid","Phi","C-F","29.2","7","36.8","31.3","18.8","70","0.9","94","0.5","22","0.227","0.47","0.586","24.6","10","3.1","0.7","2.9","3.9","34.6","27.7","37.7","9.9","110.7","106.4"
"15","Ja Morant","Mem","G","23.8","5","37.4","30.1","13.8","26","0.769","75","0.427","31","0.419","0.486","0.524","24.6","6.8","7","1.8","0.2","3.4","31.4","31.6","38.4","11.3","107.3","107.7"
"16","Khris Middleton","Mil","F","31.7","5","34.6","28.3","16.4","30","0.867","54","0.5","32","0.406","0.541","0.6","23.8","6.4","6.2","0.6","0","3.4","30.2","30","36.4","11.3","117.1","106.8"
